symbol,industry
MMM,"Conglomerates, Diversified Manufacturing and Industrial Products"
AOS,"Specialty Industrial Machinery, Water Heating Equipment, and Engineering Solutions"
ABT,"Medical Devices, Healthcare Equipment, and Diagnostic Products"
ABBV,"Drug Manufacturers - General, Pharmaceuticals, and Biopharmaceuticals"
ACN,"Information Technology Services, Consulting, and Digital Solutions"
ADBE,"Software - Application, Digital Media Solutions, and Creative Cloud"
AMD,"Semiconductors, Computer Processing Units, and Computing Hardware"
AES,"Utilities - Diversified, Electricity Generation, and Energy Solutions"
AFL,"Insurance - Life, Health Insurance, and Financial Protection Services"
A,"Diagnostics & Research, Laboratory Equipment, and Life Sciences"
APD,"Specialty Chemicals, Industrial Gases, and Materials Science"
ABNB,"Travel Services, Hospitality Marketplace, and Accommodation Booking"
AKAM,"Software - Infrastructure, Content Delivery Networks, and Cloud Security"
ALB,"Specialty Chemicals, Lithium Production, and Battery Materials"
ARE,"REIT - Office, Life Sciences Real Estate, and Research Facilities"
ALGN,"Medical Instruments & Supplies, Dental Equipment, and Orthodontic Solutions"
ALLE,"Security & Protection Services, Access Control, and Safety Equipment"
LNT,"Utilities - Regulated Electric, Energy Distribution, and Power Services"
ALL,"Insurance - Property & Casualty, Risk Management, and Protection Services"
GOOGL,"Internet Content & Information, Technology, Search Engines, and Digital Advertising"
GOOG,"Internet Content & Information, Technology, Search Engines, and Digital Advertising"
MO,"Tobacco, Consumer Staples, and Nicotine Products"
AMZN,"Internet Retail, E-commerce, Cloud Computing, and Digital Services"
AMCR,"Packaging & Containers, Consumer Packaging, and Sustainable Solutions"
AEE,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
AEP,"Utilities - Regulated Electric, Power Generation, and Energy Transmission"
AXP,"Credit Services, Financial Services, and Payment Solutions"
AIG,"Insurance - Diversified, Risk Management, and Financial Protection"
AMT,"REIT - Specialty, Communication Infrastructure, and Wireless Towers"
AWK,"Utilities - Regulated Water, Water Services, and Infrastructure"
AMP,"Asset Management, Financial Advisory, and Wealth Management Services"
AME,"Specialty Industrial Machinery, Precision Instruments, and Measurement Tools"
AMGN,"Drug Manufacturers - General, Biotechnology, and Therapeutic Medicines"
APH,"Electronic Components, Connectivity Solutions, and Engineering Products"
ADI,"Semiconductors, Integrated Circuits, and Signal Processing Technology"
ANSS,"Software - Application, Engineering Simulation, and Design Solutions"
AON,"Insurance Brokers, Risk Management, and Professional Services"
APA,"Oil & Gas E&P, Energy Production, and Resource Exploration"
APO,"Asset Management, Private Equity, and Alternative Investments"
AAPL,"Consumer Electronics, Technology Hardware, and Digital Services"
AMAT,"Semiconductor Equipment & Materials, Manufacturing Technology, and Automation"
APTV,"Auto Parts, Vehicle Technology, and Mobility Solutions"
ACGL,"Insurance - Diversified, Specialty Insurance, and Risk Solutions"
ADM,"Farm Products, Agricultural Processing, and Food Ingredients"
ANET,"Computer Hardware, Networking Equipment, and Cloud Infrastructure"
AJG,"Insurance Brokers, Risk Management, and Consulting Services"
AIZ,"Insurance - Property & Casualty, Specialty Insurance, and Protection Plans"
T,"Telecom Services, Communications, and Digital Entertainment"
ATO,"Utilities - Regulated Gas, Natural Gas Distribution, and Energy Services"
ADSK,"Software - Application, Design Tools, and Engineering Solutions"
ADP,"Software - Application, Human Capital Management, and Business Services"
AZO,"Specialty Retail, Automotive Parts, and Vehicle Accessories"
AVB,"REIT - Residential, Apartment Communities, and Housing Properties"
AVY,"Packaging & Containers, Adhesive Materials, and Labeling Solutions"
AXON,"Aerospace & Defense, Public Safety Equipment, and Security Technology"
BKR,"Oil & Gas Equipment & Services, Energy Technology, and Field Solutions"
BALL,"Packaging & Containers, Metal Packaging, and Sustainable Solutions"
BAC,"Banks - Diversified, Financial Services, and Consumer Banking"
BAX,"Medical Instruments & Supplies, Healthcare Solutions, and Medical Delivery Systems"
BDX,"Medical Instruments & Supplies, Healthcare Technology, and Diagnostic Products"
BRK.B,"Diversified Holdings, Insurance, and Multi-Sector Investments"
BBY,"Specialty Retail, Consumer Electronics, and Technology Products"
TECH,"Biotechnology, Life Sciences, and Research Products"
BIIB,"Drug Manufacturers - General, Biopharmaceuticals, and Neurology Treatments"
BLK,"Asset Management, Investment Services, and Financial Technology"
BX,"Asset Management, Private Equity, and Alternative Investments"
BK,"Banks - Diversified, Custodial Banking, and Financial Services"
BA,"Aerospace & Defense, Aircraft Manufacturing, and Aviation Technology"
BKNG,"Travel Services, Online Reservations, and Hospitality Platform"
BWA,"Auto Parts, Powertrain Solutions, and Vehicle Technology"
BSX,"Medical Devices, Healthcare Equipment, and Therapeutic Solutions"
BMY,"Drug Manufacturers - General, Pharmaceuticals, and Oncology Treatments"
AVGO,"Semiconductors, Integrated Circuits, and Communication Technology"
BR,"Information Technology Services, Financial Technology, and Business Solutions"
BRO,"Insurance Brokers, Risk Management, and Insurance Services"
BF.B,"Beverages - Alcoholic, Spirits, and Premium Liquor"
BLDR,"Building Products & Equipment, Construction Materials, and Home Improvement"
BG,"Farm Products, Agricultural Processing, and Food Supply Chain"
BXP,"REIT - Office, Commercial Real Estate, and Urban Properties"
CHRW,"Integrated Freight & Logistics, Supply Chain Services, and Transportation"
CDNS,"Software - Application, Electronic Design Automation, and Engineering Tools"
CZR,"Resorts & Casinos, Entertainment Venues, and Hospitality Services"
CPT,"REIT - Residential, Apartment Communities, and Multi-Family Housing"
CPB,"Packaged Foods, Consumer Staples, and Prepared Meals"
COF,"Credit Services, Consumer Banking, and Financial Services"
CAH,"Medical Distribution, Healthcare Supplies, and Pharmaceutical Services"
KMX,"Auto & Truck Dealerships, Vehicle Retail, and Automotive Services"
CCL,"Travel Services, Cruise Lines, and Leisure Entertainment"
CARR,"Building Products & Equipment, HVAC Systems, and Climate Control"
CAT,"Farm & Heavy Construction Machinery, Industrial Equipment, and Engineering Solutions"
CBOE,"Financial Data & Stock Exchanges, Market Infrastructure, and Trading Platforms"
CBRE,"Real Estate Services, Commercial Property Management, and Investment Services"
CDW,"Information Technology Services, Technology Solutions, and IT Products"
CE,"Chemicals, Material Science, and Industrial Solutions"
COR,"Medical Distribution, Healthcare Supplies, and Pharmaceutical Services"
CNC,"Healthcare Plans, Managed Care, and Health Insurance Services"
CNP,"Utilities - Regulated Electric, Energy Delivery, and Natural Gas Distribution"
CF,"Agricultural Inputs, Fertilizers, and Crop Nutrients"
CRL,"Diagnostics & Research, Contract Research, and Laboratory Services"
SCHW,"Capital Markets, Investment Services, and Financial Brokerage"
CHTR,"Telecom Services, Cable Communications, and Broadband Services"
CVX,"Oil & Gas Integrated, Energy Production, and Fuel Distribution"
CMG,"Restaurants, Fast Casual Dining, and Food Service"
CB,"Insurance - Property & Casualty, Risk Management, and Commercial Coverage"
CHD,"Household & Personal Products, Consumer Goods, and Home Care"
CI,"Healthcare Plans, Insurance Services, and Pharmacy Benefits Management"
CINF,"Insurance - Property & Casualty, Risk Protection, and Financial Services"
CTAS,"Specialty Business Services, Uniform Rental, and Facility Services"
CSCO,"Communication Equipment, Networking Technology, and IT Infrastructure"
C,"Banks - Diversified, Financial Services, and Global Banking"
CFG,"Banks - Regional, Consumer Banking, and Financial Services"
CLX,"Household & Personal Products, Consumer Staples, and Cleaning Solutions"
CME,"Financial Data & Stock Exchanges, Derivatives Marketplace, and Trading Platforms"
CMS,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
KO,"Beverages - Non-Alcoholic, Consumer Staples, and Soft Drinks"
CTSH,"Information Technology Services, Consulting, and Digital Solutions"
CL,"Household & Personal Products, Personal Care, and Consumer Health"
CMCSA,"Telecom Services, Media Entertainment, and Broadband Communications"
CAG,"Packaged Foods, Consumer Staples, and Food Products"
COP,"Oil & Gas E&P, Energy Production, and Resource Development"
ED,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
STZ,"Beverages - Brewers, Alcoholic Beverages, and Wine & Spirits"
CEG,"Utilities - Renewable, Clean Energy, and Sustainable Power"
COO,"Medical Instruments & Supplies, Vision Care, and Healthcare Products"
CPRT,"Specialty Business Services, Auto Salvage, and Vehicle Remarketing"
GLW,"Electronic Components, Specialty Glass, and Materials Science"
CPAY,"Software - Infrastructure, Payment Processing, and Financial Technology"
CTVA,"Agricultural Inputs, Crop Protection, and Seed Technology"
CSGP,"Real Estate Services, Commercial Property Data, and Analytics"
COST,"Discount Stores, Retail Warehouse, and Consumer Wholesale"
CTRA,"Oil & Gas E&P, Natural Gas Production, and Energy Resources"
CRWD,"Software - Infrastructure, Cybersecurity, and Cloud Protection"
CCI,"REIT - Specialty, Communication Infrastructure, and Wireless Towers"
CSX,"Railroads, Transportation, and Freight Services"
CMI,"Specialty Industrial Machinery, Engine Manufacturing, and Power Solutions"
CVS,"Healthcare Plans, Pharmacy Services, and Retail Health"
DHR,"Diagnostics & Research, Life Sciences, and Medical Technology"
DRI,"Restaurants, Casual Dining, and Food Service Management"
DVA,"Medical Care Facilities, Dialysis Services, and Healthcare Operations"
DAY,"Software - Application, Cloud Services, and Enterprise Solutions"
DECK,"Footwear & Accessories, Lifestyle Brands, and Consumer Apparel"
DE,"Farm & Heavy Construction Machinery, Agricultural Equipment, and Industrial Solutions"
DELL,"Computer Hardware, Technology Solutions, and IT Infrastructure"
DAL,"Airlines, Transportation Services, and Travel Operations"
DVN,"Oil & Gas E&P, Energy Production, and Resource Development"
DXCM,"Medical Devices, Diabetes Care, and Healthcare Technology"
FANG,"Oil & Gas E&P, Energy Production, and Resource Development"
DLR,"REIT - Specialty, Data Centers, and Digital Infrastructure"
DFS,"Credit Services, Consumer Finance, and Payment Solutions"
DG,"Discount Stores, Value Retail, and Consumer Staples"
DLTR,"Discount Stores, Value Retail, and Consumer Merchandise"
D,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
DPZ,"Restaurants, Fast Food, and Food Delivery Services"
DOV,"Specialty Industrial Machinery, Engineered Products, and Manufacturing Solutions"
DOW,"Chemicals, Materials Science, and Industrial Solutions"
DHI,"Residential Construction, Homebuilding, and Real Estate Development"
DTE,"Utilities - Regulated Electric, Energy Services, and Natural Gas"
DUK,"Utilities - Regulated Electric, Energy Services, and Power Generation"
DD,"Specialty Chemicals, Advanced Materials, and Industrial Solutions"
EMN,"Specialty Chemicals, Advanced Materials, and Industrial Solutions"
ETN,"Specialty Industrial Machinery, Power Management, and Electrical Systems"
EBAY,"Internet Retail, Technology, E-commerce Marketplace, and Online Auctions"
ECL,"Specialty Chemicals, Water Treatment, and Hygiene Solutions"
EIX,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
EW,"Medical Devices, Heart Valves, and Cardiovascular Technology"
EA,"Electronic Gaming & Multimedia, Digital Entertainment, and Interactive Media"
ELV,"Healthcare Plans, Insurance Services, and Medical Benefits"
EMR,"Specialty Industrial Machinery, Automation Technology, and Engineering Solutions"
ENPH,"Solar, Renewable Energy, and Clean Technology Solutions"
ETR,"Utilities - Regulated Electric, Energy Services, and Power Generation"
EOG,"Oil & Gas E&P, Energy Production, and Resource Development"
EPAM,"Information Technology Services, Software Engineering, and Digital Consulting"
EQT,"Oil & Gas E&P, Natural Gas Production, and Energy Resources"
EFX,"Consulting Services, Credit Reporting, and Information Solutions"
EQIX,"REIT - Specialty, Data Centers, and Digital Infrastructure"
EQR,"REIT - Residential, Apartment Communities, and Housing Properties"
ERIE,"Insurance Brokers, Property & Casualty Insurance, and Financial Protection"
ESS,"REIT - Residential, Apartment Communities, and Housing Properties"
EL,"Household & Personal Products, Cosmetics, and Luxury Beauty"
EG,"Insurance - Reinsurance, Risk Transfer, and Financial Protection"
EVRG,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
ES,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
EXC,"Utilities - Regulated Electric, Energy Services, and Power Generation"
EXPE,"Travel Services, Online Booking, and Trip Planning Platform"
EXPD,"Integrated Freight & Logistics, Supply Chain Services, and Global Trade"
EXR,"REIT - Industrial, Self-Storage Facilities, and Warehouse Properties"
XOM,"Oil & Gas Integrated, Energy Production, and Fuel Distribution"
FFIV,"Software - Infrastructure, Application Services, and Network Security"
FDS,"Financial Data & Stock Exchanges, Market Intelligence, and Analytics"
FICO,"Software - Application, Credit Scoring, and Analytics Solutions"
FAST,"Industrial Distribution, Fasteners, and Maintenance Supplies"
FRT,"REIT - Retail, Shopping Centers, and Commercial Properties"
FDX,"Integrated Freight & Logistics, Package Delivery, and Transportation Services"
FIS,"Information Technology Services, Financial Solutions, and Payment Processing"
FITB,"Banks - Regional, Consumer Banking, and Financial Services"
FSLR,"Solar, Renewable Energy, and Clean Technology Manufacturing"
FE,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
FI,"Information Technology Services, Financial Solutions, and Banking Technology"
FMC,"Agricultural Inputs, Crop Protection, and Chemical Solutions"
F,"Auto Manufacturers, Vehicle Production, and Mobility Solutions"
FTNT,"Software - Infrastructure, Cybersecurity, and Network Protection"
FTV,"Scientific & Technical Instruments, Precision Equipment, and Technology Solutions"
FOXA,"Entertainment, Media Broadcasting, and Content Production"
FOX,"Entertainment, Media Broadcasting, and Content Production"
BEN,"Asset Management, Investment Services, and Financial Solutions"
FCX,"Copper, Mining Operations, and Natural Resources"
GRMN,"Scientific & Technical Instruments, Navigation Technology, and Wearable Devices"
IT,"Information Technology Services, Research, and Advisory Services"
GE,"Aerospace & Defense, Industrial Technology, and Engineering Solutions"
GEHC,"Health Information Services, Medical Imaging, and Healthcare Technology"
GEV,"Utilities - Renewable, Clean Energy, and Sustainable Power"
GEN,"Software - Infrastructure, Data Management, and Security Solutions"
GNRC,"Specialty Industrial Machinery, Power Generation, and Energy Systems"
GD,"Aerospace & Defense, Military Technology, and Security Solutions"
GIS,"Packaged Foods, Consumer Staples, and Food Products"
GM,"Auto Manufacturers, Vehicle Production, and Mobility Solutions"
GPC,"Auto Parts, Automotive Distribution, and Industrial Components"
GILD,"Drug Manufacturers - General, Biopharmaceuticals, and HIV Treatments"
GPN,"Specialty Business Services, Payment Processing, and Financial Technology"
GL,"Insurance - Life, Financial Protection, and Employee Benefits"
GDDY,"Software - Infrastructure, Web Hosting, and Domain Services"
GS,"Capital Markets, Investment Banking, and Financial Services"
HAL,"Oil & Gas Equipment & Services, Energy Solutions, and Field Operations"
