symbol,industry
HIG,"Insurance - Property & Casualty, Risk Management, and Financial Services"
HAS,"Leisure, Toys & Games, and Entertainment Products"
HCA,"Medical Care Facilities, Hospital Management, and Healthcare Services"
DOC,"REIT - Healthcare Facilities, Medical Properties, and Clinical Buildings"
HSIC,"Medical Distribution, Dental Supplies, and Healthcare Products"
HSY,"Confectioners, Consumer Staples, and Food Products"
HES,"Oil & Gas E&P, Energy Production, and Resource Development"
HPE,"Communication Equipment, Enterprise Technology, and IT Infrastructure"
HLT,"Lodging, Hospitality Services, and Hotel Management"
HOLX,"Medical Instruments & Supplies, Women's Health, and Diagnostic Products"
HD,"Home Improvement Retail, Building Supplies, and Consumer Services"
HON,"Conglomerates, Industrial Technology, and Aerospace Solutions"
HRL,"Packaged Foods, Protein Products, and Consumer Staples"
HST,"REIT - Hotel & Motel, Hospitality Properties, and Lodging Investments"
HWM,"Aerospace & Defense, Engineered Materials, and Industrial Components"
HPQ,"Computer Hardware, Technology Products, and Printing Solutions"
HUBB,"Electrical Equipment & Parts, Power Systems, and Industrial Solutions"
HUM,"Healthcare Plans, Insurance Services, and Medical Benefits"
HBAN,"Banks - Regional, Consumer Banking, and Financial Services"
HII,"Aerospace & Defense, Military Shipbuilding, and Defense Contracting"
IBM,"Information Technology Services, Enterprise Computing, and Cloud Solutions"
IEX,"Specialty Industrial Machinery, Fluid Handling, and Engineering Products"
IDXX,"Diagnostics & Research, Veterinary Products, and Healthcare Technology"
ITW,"Specialty Industrial Machinery, Manufacturing Equipment, and Engineered Components"
INCY,"Biotechnology, Pharmaceuticals, and Cancer Treatments"
IR,"Specialty Industrial Machinery, Industrial Technology, and Flow Solutions"
PODD,"Medical Devices, Diabetes Care, and Healthcare Technology"
INTC,"Semiconductors, Microprocessors, and Computing Technology"
ICE,"Financial Data & Stock Exchanges, Market Infrastructure, and Trading Platforms"
IFF,"Specialty Chemicals, Flavors & Fragrances, and Sensory Solutions"
IP,"Packaging & Containers, Paper Products, and Fiber-Based Solutions"
IPG,"Advertising Agencies, Marketing Services, and Brand Communication"
INTU,"Software - Application, Financial Management, and Business Solutions"
ISRG,"Medical Instruments & Supplies, Surgical Robotics, and Healthcare Technology"
IVZ,"Asset Management, Investment Services, and Financial Solutions"
INVH,"REIT - Residential, Single-Family Rental, and Housing Properties"
IQV,"Diagnostics & Research, Clinical Trials, and Healthcare Information"
IRM,"REIT - Specialty, Information Storage, and Data Management"
JBHT,"Integrated Freight & Logistics, Transportation Services, and Supply Chain Solutions"
JBL,"Electronic Components, Manufacturing Services, and Engineering Solutions"
JKHY,"Information Technology Services, Banking Software, and Financial Technology"
J,"Engineering & Construction, Infrastructure Services, and Project Management"
JNJ,"Drug Manufacturers - General, Medical Devices, and Consumer Healthcare"
JCI,"Building Products & Equipment, Facility Systems, and Environmental Controls"
JPM,"Banks - Diversified, Financial Services, and Investment Banking"
JNPR,"Communication Equipment, Networking Technology, and IT Infrastructure"
K,"Packaged Foods, Breakfast Products, and Consumer Staples"
KVUE,"Household & Personal Products, Consumer Brands, and Personal Care"
KDP,"Beverages - Non-Alcoholic, Coffee Products, and Consumer Staples"
KEY,"Banks - Regional, Financial Services, and Commercial Banking"
KEYS,"Scientific & Technical Instruments, Measurement Equipment, and Testing Solutions"
KMB,"Household & Personal Products, Personal Care, and Consumer Health"
KIM,"REIT - Retail, Shopping Centers, and Commercial Properties"
KMI,"Oil & Gas Midstream, Energy Infrastructure, and Pipeline Operations"
KKR,"Asset Management, Private Equity, and Alternative Investments"
KLAC,"Semiconductor Equipment & Materials, Inspection Technology, and Process Control"
KHC,"Packaged Foods, Consumer Staples, and Food Products"
KR,"Grocery Stores, Food Retail, and Consumer Staples"
LHX,"Aerospace & Defense, Communication Systems, and Military Technology"
LH,"Diagnostics & Research, Laboratory Services, and Healthcare Information"
LRCX,"Semiconductor Equipment & Materials, Wafer Fabrication, and Process Technology"
LW,"Packaged Foods, Frozen Products, and Food Processing"
LVS,"Resorts & Casinos, Hospitality Services, and Entertainment Venues"
LDOS,"Information Technology Services, Defense Solutions, and Government Contracting"
LEN,"Residential Construction, Homebuilding, and Real Estate Development"
LII,"Building Products & Equipment, HVAC Systems, and Climate Control"
LLY,"Drug Manufacturers - General, Pharmaceuticals, and Healthcare Products"
LIN,"Specialty Chemicals, Industrial Gases, and Engineering Solutions"
LYV,"Entertainment, Live Events, and Ticketing Services"
LKQ,"Auto Parts, Automotive Aftermarket, and Specialty Components"
LMT,"Aerospace & Defense, Military Technology, and Security Solutions"
L,"Insurance - Property & Casualty, Risk Management, and Financial Services"
LOW,"Home Improvement Retail, Building Supplies, and Consumer Services"
LULU,"Apparel Retail, Athletic Clothing, and Lifestyle Products"
LYB,"Specialty Chemicals, Plastics, and Advanced Materials"
MTB,"Banks - Regional, Financial Services, and Commercial Banking"
MPC,"Oil & Gas Refining & Marketing, Fuel Distribution, and Energy Products"
MKTX,"Capital Markets, Electronic Trading, and Fixed Income Platform"
MAR,"Lodging, Hospitality Services, and Hotel Management"
MMC,"Insurance Brokers, Risk Management, and Professional Services"
MLM,"Building Materials, Construction Aggregates, and Infrastructure Products"
MAS,"Building Products & Equipment, Home Improvement, and Construction Solutions"
MA,"Credit Services, Payment Technology, and Financial Services"
MTCH,"Internet Content & Information, Technology, Online Dating, and Digital Relationships"
MKC,"Packaged Foods, Spices & Flavors, and Consumer Staples"
MCD,"Restaurants, Fast Food, and Global Food Service"
MCK,"Medical Distribution, Pharmaceutical Supplies, and Healthcare Services"
MDT,"Medical Devices, Healthcare Technology, and Therapeutic Solutions"
MRK,"Drug Manufacturers - General, Pharmaceuticals, and Vaccines"
META,"Internet Content & Information, Technology, Social Media, and Digital Advertising"
MET,"Insurance - Life, Financial Protection, and Employee Benefits"
MTD,"Diagnostics & Research, Laboratory Equipment, and Scientific Instruments"
MGM,"Resorts & Casinos, Hospitality Services, and Entertainment Venues"
MCHP,"Semiconductors, Integrated Circuits, and Embedded Solutions"
MU,"Semiconductors, Memory Technology, and Storage Solutions"
MSFT,"Software - Infrastructure, Cloud Computing, and Enterprise Technology"
MAA,"REIT - Residential, Apartment Communities, and Multi-Family Housing"
MRNA,"Biotechnology, Vaccine Development, and Messenger RNA Technology"
MHK,"Furnishings, Fixtures & Appliances, Flooring Products, and Home Solutions"
MOH,"Healthcare Plans, Managed Care, and Government Health Programs"
TAP,"Beverages - Brewers, Beer Production, and Alcoholic Beverages"
MDLZ,"Confectioners, Snack Foods, and Consumer Staples"
MPWR,"Semiconductors, Power Management, and Analog Solutions"
MNST,"Beverages - Non-Alcoholic, Energy Drinks, and Consumer Staples"
MCO,"Financial Data & Stock Exchanges, Credit Ratings, and Risk Assessment"
MS,"Capital Markets, Investment Banking, and Financial Services"
MOS,"Agricultural Inputs, Fertilizers, and Crop Nutrients"
MSI,"Communication Equipment, Public Safety Technology, and Wireless Solutions"
MSCI,"Financial Data & Stock Exchanges, Investment Analytics, and Index Services"
NDAQ,"Financial Data & Stock Exchanges, Market Technology, and Listing Services"
NTAP,"Computer Hardware, Data Storage, and Cloud Infrastructure"
NFLX,"Entertainment, Streaming Services, and Content Production"
NEM,"Gold, Mining Operations, and Precious Metals"
NWSA,"Entertainment, News Media, and Publishing Services"
NWS,"Entertainment, News Media, and Publishing Services"
NEE,"Utilities - Regulated Electric, Renewable Energy, and Power Services"
NKE,"Footwear & Accessories, Athletic Apparel, and Sportswear"
NI,"Utilities - Regulated Gas, Energy Services, and Natural Gas Distribution"
NDSN,"Specialty Industrial Machinery, Adhesive Dispensing, and Fluid Systems"
NSC,"Railroads, Transportation, and Freight Services"
NTRS,"Asset Management, Trust Services, and Banking for Institutions"
NOC,"Aerospace & Defense, Military Technology, and Security Solutions"
NCLH,"Travel Services, Cruise Lines, and Leisure Entertainment"
NRG,"Utilities - Independent Power Producers, Energy Generation, and Retail Services"
NUE,"Steel, Metal Products, and Industrial Materials"
NVDA,"Semiconductors, Graphics Processing, and Artificial Intelligence Technology"
NVR,"Residential Construction, Homebuilding, and Real Estate Development"
NXPI,"Semiconductors, Automotive Electronics, and Security Solutions"
ORLY,"Specialty Retail, Automotive Parts, and Vehicle Accessories"
OXY,"Oil & Gas E&P, Energy Production, and Resource Development"
ODFL,"Trucking, Freight Services, and Transportation Solutions"
OMC,"Advertising Agencies, Marketing Services, and Media Communications"
ON,"Semiconductors, Power Solutions, and Sensor Technology"
OKE,"Oil & Gas Midstream, Energy Infrastructure, and Natural Gas Processing"
ORCL,"Software - Infrastructure, Database Technology, and Enterprise Solutions"
OTIS,"Specialty Industrial Machinery, Elevator Systems, and Building Solutions"
PCAR,"Farm & Heavy Construction Machinery, Truck Manufacturing, and Transportation Equipment"
PKG,"Packaging & Containers, Paper Products, and Industrial Solutions"
PLTR,"Software - Infrastructure, Data Analytics, and Government Solutions"
PANW,"Software - Infrastructure, Cybersecurity, and Network Protection"
PARA,"Entertainment, Media Broadcasting, and Content Production"
PH,"Specialty Industrial Machinery, Motion Control, and Engineered Systems"
PAYX,"Software - Application, Technology, Payroll Services, and Human Resources"
PAYC,"Software - Application, Technology, Payroll Services, and Human Capital Management"
PYPL,"Credit Services, Technology, Digital Payments, and Financial Technology"
PNR,"Specialty Industrial Machinery, Water Solutions, and Fluid Management"
PEP,"Beverages - Non-Alcoholic, Snack Foods, and Consumer Staples"
PFE,"Drug Manufacturers - General, Pharmaceuticals, and Vaccines"
PCG,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
PM,"Tobacco, Consumer Staples, and Nicotine Products"
PSX,"Oil & Gas Refining & Marketing, Fuel Distribution, and Energy Products"
PNW,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
PNC,"Banks - Regional, Financial Services, and Commercial Banking"
POOL,"Industrial Distribution, Pool Supplies, and Specialty Products"
PPG,"Specialty Chemicals, Coatings, and Industrial Materials"
PPL,"Utilities - Regulated Electric, Energy Services, and Power Distribution"
PFG,"Asset Management, Insurance Services, and Financial Solutions"
PG,"Household & Personal Products, Consumer Staples, and Personal Care"
PGR,"Insurance - Property & Casualty, Auto Insurance, and Risk Protection"
PLD,"REIT - Industrial, Logistics Facilities, and Distribution Centers"
PRU,"Insurance - Life, Financial Services, and Retirement Solutions"
PEG,"Utilities - Regulated Electric, Energy Services, and Power Generation"
PTC,"Software - Application, Industrial Technology, and Design Solutions"
PSA,"REIT - Industrial, Self-Storage Facilities, and Warehouse Properties"
PHM,"Residential Construction, Homebuilding, and Real Estate Development"
PWR,"Engineering & Construction, Infrastructure Services, and Utility Solutions"
QCOM,"Semiconductors, Wireless Technology, and Mobile Communications"
DGX,"Diagnostics & Research, Laboratory Services, and Healthcare Information"
RL,"Apparel Manufacturing, Luxury Clothing, and Lifestyle Products"
RJF,"Asset Management, Wealth Services, and Investment Banking"
RTX,"Aerospace & Defense, Aviation Technology, and Defense Systems"
O,"REIT - Retail, Commercial Properties, and Real Estate Investments"
REG,"REIT - Retail, Shopping Centers, and Commercial Properties"
REGN,"Biotechnology, Pharmaceuticals, and Therapeutic Treatments"
RF,"Banks - Regional, Financial Services, and Commercial Banking"
RSG,"Waste Management, Environmental Services, and Recycling Solutions"
RMD,"Medical Instruments & Supplies, Sleep Solutions, and Respiratory Care"
RVTY,"Diagnostics & Research, Laboratory Services, and Healthcare Information"
ROK,"Specialty Industrial Machinery, Automation Technology, and Manufacturing Solutions"
ROL,"Personal Services, Pest Control, and Property Protection"
ROP,"Software - Application, Engineered Products, and Technology Solutions"
ROST,"Apparel Retail, Discount Clothing, and Consumer Goods"
RCL,"Travel Services, Cruise Lines, and Leisure Entertainment"
SPGI,"Financial Data & Stock Exchanges, Credit Ratings, and Market Intelligence"
CRM,"Software - Application, Customer Relationship Management, and Cloud Solutions"
SBAC,"REIT - Specialty, Communication Infrastructure, and Wireless Towers"
SLB,"Oil & Gas Equipment & Services, Energy Technology, and Field Solutions"
STX,"Computer Hardware, Data Storage, and Digital Solutions"
SRE,"Utilities - Diversified, Energy Services, and Infrastructure"
NOW,"Software - Application, Enterprise Solutions, and IT Service Management"
SHW,"Specialty Chemicals, Paints & Coatings, and Building Materials"
SPG,"REIT - Retail, Shopping Centers, and Commercial Properties"
SWKS,"Semiconductors, Wireless Solutions, and Communication Technology"
SJM,"Packaged Foods, Consumer Staples, and Food Products"
SW,"Packaging & Containers, Industrial Materials, and Engineering Solutions"
SNA,"Tools & Accessories, Professional Equipment, and Specialty Products"
SOLV,"Health Information Services, Healthcare Technology, and Digital Solutions"
SO,"Utilities - Regulated Electric, Energy Services, and Power Generation"
LUV,"Airlines, Transportation Services, and Travel Operations"
SWK,"Tools & Accessories, Construction Equipment, and Industrial Products"
SBUX,"Restaurants, Coffee Shops, and Food Service"
STT,"Asset Management, Custody Services, and Investment Solutions"
STLD,"Steel, Metal Products, and Industrial Materials"
STE,"Medical Devices, Sterilization Equipment, and Healthcare Technology"
SYK,"Medical Devices, Orthopedic Products, and Healthcare Technology"
SMCI,"Computer Hardware, Server Technology, and IT Infrastructure"
SYF,"Credit Services, Consumer Finance, and Retail Banking"
SNPS,"Software - Infrastructure, Electronic Design, and Semiconductor Technology"
SYY,"Food Distribution, Foodservice Supplies, and Hospitality Products"
TMUS,"Telecom Services, Wireless Communications, and Digital Services"
TROW,"Asset Management, Investment Services, and Financial Solutions"
TTWO,"Electronic Gaming & Multimedia, Interactive Entertainment, and Digital Media"
TPR,"Luxury Goods, Fashion Accessories, and Lifestyle Products"
TRGP,"Oil & Gas Midstream, Energy Infrastructure, and Natural Gas Processing"
TGT,"Discount Stores, Retail Merchandise, and Consumer Goods"
TEL,"Electronic Components, Connectivity Solutions, and Engineering Products"
TDY,"Scientific & Technical Instruments, Imaging Technology, and Sensing Solutions"
TFX,"Medical Instruments & Supplies, Healthcare Products, and Specialty Devices"
TER,"Semiconductor Equipment & Materials, Testing Technology, and Automation"
TSLA,"Auto Manufacturers, Electric Vehicles, and Renewable Energy"
TXN,"Semiconductors, Analog Chips, and Embedded Processing"
TPL,"Oil & Gas E&P, Land Holdings, and Mineral Rights"
TXT,"Aerospace & Defense, Manufacturing, and Industrial Products"
TMO,"Diagnostics & Research, Laboratory Equipment, and Life Sciences"
TJX,"Apparel Retail, Discount Clothing, and Home Goods"
TSCO,"Specialty Retail, Rural Lifestyle Products, and Agriculture Supplies"
TT,"Building Products & Equipment, Climate Solutions"